"RunNumber/Seed","Score"
"0","9.910208471897965"
"1","9.595313829009521"
"2","9.273480914378272"
"3","9.367326530275836"
"4","9.829947604057853"
"5","9.917649579044877"
"6","9.961359057572011"
"7","9.713977231860584"
"8","9.537890304867414"
"9","9.205038511494642"
"10","9.755167758249465"
"11","9.84938520835756"
"12","9.843217709294692"
"13","9.770160744278432"
"14","9.816703012352399"
"15","9.811766002807214"
"16","9.928893260393224"
"17","9.92423162025547"
"18","9.67344509899825"
"19","7.521353044675074"
"20","9.88453803662993"
"21","9.870121989834264"
"22","9.475973116449891"
"23","9.816100430125438"
"24","9.653543034594527"
"25","9.978375363889892"
"26","9.697545467149816"
"27","9.630389841766151"
"28","9.922333045397266"
"29","9.801553903819883"
"30","8.368503007502142"
"31","9.62454605972545"
"32","9.952493944059054"
"33","8.892670636019002"
"34","9.071417661953362"
"35","9.663792961134238"
"36","9.735856492118808"
"37","9.360506367044353"
"38","9.427803132275002"
"39","9.743080837206492"
"40","9.842722070120214"
"41","8.959056106056622"
"42","9.180656341346127"
"43","9.745017289209567"
"44","9.856961966869624"
"45","9.673748517233538"
"46","9.96538769110521"
"47","9.842794177877908"
"48","9.902722197920443"
"49","9.951518607597906"
"50","9.423222523896161"
"51","8.426417292495278"
"52","9.881268987855963"
"53","9.869816835844736"
"54","9.275831730221116"
"55","9.089947041440912"
"56","9.899897721024255"
"57","7.493305148045675"
"58","9.58302429226893"
"59","9.108142128854595"
"60","7.336031153466073"
"61","9.178811753472072"
"62","9.07954102865938"
"63","9.65663146408226"
"64","9.394606196619256"
"65","9.839101411302925"
"66","9.721348498963728"
"67","9.895698248539162"
"68","9.918885602821245"
"69","9.280879754502873"
"70","9.63850514352669"
"71","9.622321113471596"
"72","9.946638843731252"
"73","9.833796783996073"
"74","9.808760428662875"
"75","9.70163629310624"
"76","9.85558067183951"
"77","9.91635290002773"
"78","9.840002279435648"
"79","9.93369070630251"
"80","9.93934374177122"
"81","8.730626127254322"
"82","9.58413949643197"
"83","9.197713080200945"
"84","9.596900472415204"
"85","9.819395400715198"
"86","8.93804171027475"
"87","9.738688894569057"
"88","9.847938609531601"
"89","9.186680718464757"
"90","9.819474420504445"
"91","9.694181225554374"
"92","9.14484674206469"
"93","9.657036581399236"
"94","9.41032049856911"
"95","9.566298079713892"
"96","9.72409688216828"
"97","9.517667645157472"
"98","9.524879797520308"
"99","9.284301570519052"
