"RunNumber/Seed","Score"
"0","9.895193415449098"
"1","9.873783110295298"
"2","9.782127969930318"
"3","8.852939442828982"
"4","9.787038997500202"
"5","9.734677368932445"
"6","9.253064184304765"
"7","9.881487304297593"
"8","9.57782924256035"
"9","9.93621060304381"
"10","9.74965968646086"
"11","9.669461475035623"
"12","9.945499985974287"
"13","9.397310005968874"
"14","9.082369620397673"
"15","7.9391593848998"
"16","9.713025852307037"
"17","8.19419720465394"
"18","9.925226116924376"
"19","9.925897964015599"
"20","9.64653586049041"
"21","9.48714801261734"
"22","9.336187530380059"
"23","9.966004948104969"
"24","9.037108441938525"
"25","9.653163484528163"
"26","9.874053843699667"
"27","9.695140960971747"
"28","9.455163996924767"
"29","9.78804150622404"
"30","9.8589319928984"
"31","9.782831200498759"
"32","9.335950331996363"
"33","9.523869176747896"
"34","9.06536030048002"
"35","9.061872166516508"
"36","9.605142078004851"
"37","9.870224056254834"
"38","9.863144242053114"
"39","9.594552866702546"
"40","8.761172741818868"
"41","9.694860562027682"
"42","9.88611222714589"
"43","9.859275723025348"
"44","8.7894410509149"
"45","9.65469380709868"
"46","9.87831608730412"
"47","9.175944138579357"
"48","9.766674839980022"
"49","8.872751100983926"
"50","9.879247293728547"
"51","9.859125182777968"
"52","9.739576165831789"
"53","9.78197246309042"
"54","9.852548125841306"
"55","9.515430935089025"
"56","9.962569237126639"
"57","9.57803952501219"
"58","9.85906521797238"
"59","9.635828275051274"
"60","8.987264133053483"
"61","9.642385273310762"
"62","9.823753572534484"
"63","9.775362606693376"
"64","8.321055721093899"
"65","8.317369065574972"
"66","9.742641915837716"
"67","9.757012408048263"
"68","9.501204236538378"
"69","9.478692955045453"
"70","9.915993450152937"
"71","9.806961139356224"
"72","9.573318991576953"
"73","9.483548266279646"
"74","9.65717755428275"
"75","9.504884212547903"
"76","9.453354705616348"
"77","9.900602298727335"
"78","8.250277847214484"
"79","9.860811900026755"
"80","9.95222782600726"
"81","9.7105391820737"
"82","9.912439942235675"
"83","9.469764848866985"
"84","9.646674403659356"
"85","8.902886553751838"
"86","9.788835575659242"
"87","9.419231561824112"
"88","9.804378820552687"
"89","9.081042503949478"
"90","9.836708450106507"
"91","8.879461144013582"
"92","9.434990649370965"
"93","8.97519706586115"
"94","9.973318260047705"
"95","9.038524747406045"
"96","9.466212028835923"
"97","9.319246321947269"
"98","9.445531610131145"
"99","9.049178708074196"
