"RunNumber/Seed","Score"
"0","9.761700423503974"
"1","9.93184650174763"
"2","9.941612558061895"
"3","8.957067629715832"
"4","8.442177924612622"
"5","9.544153072418078"
"6","9.450344964360443"
"7","9.64043474097815"
"8","9.151616745076693"
"9","9.327141738792553"
"10","9.757973753717582"
"11","9.590357725870504"
"12","9.799574371536272"
"13","9.810958317647692"
"14","9.162382037195632"
"15","9.666150246509135"
"16","9.449561922826955"
"17","9.978667387805238"
"18","9.435733960680281"
"19","9.444541731870459"
"20","9.573799299547485"
"21","8.78439360340053"
"22","9.862866159810405"
"23","9.786043181491609"
"24","9.874340189345846"
"25","9.900227751474379"
"26","9.473470342702656"
"27","9.113595129530768"
"28","9.897494118097596"
"29","9.699049072741646"
"30","8.951347564760228"
"31","9.946717440611728"
"32","9.737130730633721"
"33","7.981544808648674"
"34","9.725364550956893"
"35","9.617368258666929"
"36","9.788097243265035"
"37","9.80705489376091"
"38","8.866378783241053"
"39","9.778187042638613"
"40","8.403778966710385"
"41","9.27517907841796"
"42","9.172407979639281"
"43","9.514624472055573"
"44","9.856079390116271"
"45","9.804532403117195"
"46","9.749279978823616"
"47","9.911903750810817"
"48","9.759600863925403"
"49","9.650914520018128"
"50","8.62154025366365"
"51","9.683031306938942"
"52","9.539249187434164"
"53","7.273512100928913"
"54","9.873555236401485"
"55","9.924667484506038"
"56","8.37759322116111"
"57","9.154445753793876"
"58","8.292349878940223"
"59","8.260186893145887"
"60","9.35702465642895"
"61","9.655506216470005"
"62","9.741325365955865"
"63","9.826900582487472"
"64","8.471674976993993"
"65","9.406918380002999"
"66","9.474865420170435"
"67","9.756034316490926"
"68","9.737025009876092"
"69","9.716413246349155"
"70","9.313042461013884"
"71","9.922007556526104"
"72","9.305782061077833"
"73","9.874807802141039"
"74","9.63490171851358"
"75","9.930703626418296"
"76","9.11308466709637"
"77","9.652653467193645"
"78","9.937123416085331"
"79","9.364697259955598"
"80","9.639858638023252"
"81","9.919611226508755"
"82","9.110476272633317"
"83","9.980658039531413"
"84","9.60032969834774"
"85","9.676641375239733"
"86","9.851522710751821"
"87","9.736676538430354"
"88","9.415131356643492"
"89","9.388386546745668"
"90","8.595255716189463"
"91","8.984543109769891"
"92","8.943079586127741"
"93","9.856097878942844"
"94","9.794431169358642"
"95","8.92568036156548"
"96","9.774358504226079"
"97","9.835230934505828"
"98","8.515112019323633"
"99","8.836752524959172"
