MutationChance,CrossoverChance,LearningRate,Fitness
0.6,0.7,0.25,9.02587483
0.6,0.7,0.5,9.051944018
0.6,0.7,0.75,9.081451223
0.6,0.7,1,9.127046153
0.6,0.7,1.25,9.224516552
0.6,0.8,0.25,8.931588517
0.6,0.8,0.5,9.12974227
0.6,0.8,0.75,9.135052008
0.6,0.8,1,9.190639548
0.6,0.8,1.25,8.944242333
0.6,0.9,0.25,9.050029913
0.6,0.9,0.5,8.828106647
0.6,0.9,0.75,9.021300416
0.6,0.9,1,8.909936369
0.6,0.9,1.25,9.046673323
0.6,1,0.25,9.009358455
0.6,1,0.5,8.769900417
0.6,1,0.75,8.705122356
0.6,1,1,8.942819219
0.6,1,1.25,8.929698495
0.7,0.5,0.25,9.56284316
0.7,0.5,0.5,9.506990985
0.7,0.5,0.75,9.591199465
0.7,0.5,1,9.457600561
0.7,0.5,1.25,8.736739068
0.7,0.6,0.25,9.401420797
0.7,0.6,0.5,9.303281216
0.7,0.6,0.75,9.358393762
0.7,0.6,1,9.442352827
0.7,0.6,1.25,9.001085602
0.7,0.7,0.25,9.094169433
0.7,0.7,0.5,9.021265555
0.7,0.7,0.75,9.026671102
0.7,0.7,1,9.362318412
0.7,0.7,1.25,9.113637862
0.7,0.8,0.25,9.143001432
0.7,0.8,0.5,8.7087042
0.7,0.8,0.75,9.001454114
0.7,0.8,1,9.316258715
0.7,0.8,1.25,9.130903678
0.7,0.9,0.25,9.004503987
0.7,0.9,0.5,8.916605074
0.7,0.9,0.75,9.087005682
0.7,0.9,1,8.930452757
0.7,0.9,1.25,8.768803102
0.7,1,0.25,8.844471484
0.7,1,0.5,8.87058155
0.7,1,0.75,9.001955824
0.7,1,1,9.033635972
0.7,1,1.25,9.313518889
0.8,0.5,0.25,9.540866605
0.8,0.5,0.5,9.697046819
0.8,0.5,0.75,9.568182935
0.8,0.5,1,8.84312263
0.8,0.5,1.25,8.326168767
0.8,0.6,0.25,9.514078509
0.8,0.6,0.5,9.50587874
0.8,0.6,0.75,9.435659232
0.8,0.6,1,9.327244555
0.8,0.6,1.25,9.132609963
0.8,0.7,0.25,9.07417287
0.8,0.7,0.5,9.395502206
0.8,0.7,0.75,9.433672433
0.8,0.7,1,9.421589749
0.8,0.7,1.25,9.094817525
0.8,0.8,0.25,8.892142793
0.8,0.8,0.5,9.057608675
0.8,0.8,0.75,9.243408595
0.8,0.8,1,9.33837495
0.8,0.8,1.25,9.054215526
0.8,0.9,0.25,9.047937896
0.8,0.9,0.5,8.952274164
0.8,0.9,0.75,9.072232972
0.8,0.9,1,9.014357669
0.8,0.9,1.25,9.300578943
0.8,1,0.25,8.874658772
0.8,1,0.5,9.150610605
0.8,1,0.75,9.127466582
0.8,1,1,8.960030158
0.8,1,1.25,9.027748481
0.9,0.5,0.25,9.45947784
0.9,0.5,0.5,9.717271872
0.9,0.5,0.75,9.358343768
0.9,0.5,1,9.157951856
0.9,0.5,1.25,7.887794775
0.9,0.6,0.25,9.618207065
0.9,0.6,0.5,9.598294929
0.9,0.6,0.75,9.653829974
0.9,0.6,1,9.2791207
0.9,0.6,1.25,8.70756041
0.9,0.7,0.25,9.488408945
0.9,0.7,0.5,9.56642928
0.9,0.7,0.75,9.664929706
0.9,0.7,1,9.488270689
0.9,0.7,1.25,9.32796616
0.9,0.8,0.25,9.03987991
0.9,0.8,0.5,9.253544926
0.9,0.8,0.75,9.200857343
0.9,0.8,1,9.430870996
0.9,0.8,1.25,9.255573298
0.9,0.9,0.25,9.126983108
0.9,0.9,0.5,9.179599896
0.9,0.9,0.75,9.323920025
0.9,0.9,1,9.295878754
0.9,0.9,1.25,9.234895188
0.9,1,0.25,8.752328961
0.9,1,0.5,9.164403173
0.9,1,0.75,9.141080925
0.9,1,1,9.069541144
0.9,1,1.25,9.018390453
