"RunNumber/Seed","Score"
"0","9.841218404062932"
"1","9.573991980555459"
"2","9.19474495752816"
"3","9.920302334702036"
"4","9.639908754904411"
"5","9.926057199409158"
"6","9.814026443369475"
"7","9.486969810922654"
"8","9.612790977997683"
"9","9.759650226889239"
"10","9.634138124428523"
"11","9.675423773269161"
"12","9.418572790387602"
"13","9.907489340754328"
"14","9.44387537826077"
"15","9.85524910043647"
"16","9.795986954306686"
"17","9.230852742606167"
"18","9.480637883423062"
"19","9.341945162742709"
"20","9.42416136208298"
"21","9.65528775823354"
"22","9.621270936631662"
"23","9.845883853160005"
"24","9.653875655114287"
"25","9.776904288547778"
"26","9.200826722563555"
"27","8.689961176543063"
"28","9.946474682522542"
"29","9.539508019903629"
"30","7.692419404618728"
"31","9.60489935501009"
"32","9.367652445374809"
"33","9.91511800607311"
"34","9.873364794919965"
"35","9.009721363047596"
"36","9.066001419888414"
"37","8.703091439955513"
"38","9.479309607871814"
"39","9.818041186417402"
"40","9.680920759506522"
"41","9.44432604333477"
"42","9.626037612117821"
"43","9.743038593823417"
"44","8.763753344755163"
"45","9.85965963336527"
"46","8.948690414691324"
"47","7.122300559654919"
"48","9.960088257783752"
"49","9.857106645047146"
"50","9.26173579072508"
"51","9.750655607473394"
"52","9.857161607906894"
"53","9.833670282703459"
"54","9.923525410911001"
"55","9.590344262399151"
"56","9.645669737346715"
"57","9.257109723804753"
"58","9.169997304313304"
"59","9.919909247599643"
"60","9.67527383703379"
"61","9.139487623166305"
"62","9.105155958916395"
"63","9.789680917296128"
"64","8.017558620645023"
"65","9.300099021147446"
"66","9.96636344586191"
"67","9.756401841155563"
"68","9.397345227598414"
"69","8.536022431831093"
"70","9.724615369300935"
"71","9.594158543297533"
"72","9.334344148012892"
"73","9.796810002005497"
"74","9.694868227453092"
"75","8.81115796536612"
"76","9.75131060223364"
"77","8.99911050431294"
"78","9.438540243862944"
"79","9.948498286898108"
"80","9.532749305012464"
"81","9.722214824746677"
"82","9.445120333470868"
"83","9.521745619579821"
"84","9.460297456993782"
"85","9.72185907706402"
"86","9.91061074124994"
"87","9.626640193469619"
"88","9.054785366406472"
"89","9.910060661596651"
"90","9.495846932304383"
"91","8.831524562899274"
"92","8.638552610458216"
"93","9.694393894845334"
"94","9.982295343883541"
"95","9.91711384431661"
"96","9.891839338897668"
"97","9.575064435295324"
"98","8.668578634551702"
"99","9.667688383172804"
